ligand,MW,logP,category
10_4-guanidinobutyraldehyde,129.090211972,-0.7610999999999997,Semialdehyde
11_prop-2-enal,56.026214748,0.37129999999999996,"α,β-Unsaturated"
12_prop-2-ynal,54.010564684,-0.18150000000000005,"α,β-Unsaturated"
13_(2E)-but-2-enal,70.041864812,0.7614,"α,β-Unsaturated"
14_trans-2-Hexenal,98.07316494,1.5415999999999999,"α,β-Unsaturated"
15_heptanal,114.104465068,2.1557000000000004,Medium-chain
16_octanaldehyde,128.120115132,2.5458000000000007,Medium-chain
17_nonanal,142.135765196,2.935900000000001,Medium-chain
18_decanal,156.15141526,3.3260000000000023,Medium-chain
19_dodecanal,184.182715388,4.106200000000003,Medium-chain
1_formaldehyde,30.010564684,-0.1849,Short-chain
20_Citral,152.120115132,2.878000000000001,"α,β-Unsaturated"
21_cis-2-Octenal,126.104465068,2.3218000000000005,"α,β-Unsaturated"
22_trans-2-Octenal,126.104465068,2.3218000000000005,"α,β-Unsaturated"
23_4-Hydroxynonenal,156.115029752,1.6826999999999999,"α,β-Unsaturated"
24_Tetradecanal,212.214015516,4.8864000000000045,Medium-chain
25_hexadecanal,240.24531564400002,5.666600000000005,Medium-chain
26_trans-2-hexadecenal,238.22966558,5.442600000000005,"α,β-Unsaturated"
27_Benzaldehyde,106.041864812,1.4991,Aromatic
28_Phenylacetaldehyde,120.057514876,1.428,Aromatic
29_Salicylaldehyde,122.036779432,1.2046999999999999,Aromatic
2_acetaldehyde,44.026214748,0.2052,Short-chain
"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",164.04734411599998,1.3098999999999998,Aromatic
"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",284.214015516,5.716900000000006,Retinoid
32_9-cis-Retinal,284.214015516,5.716900000000006,Retinoid
33_11-cis-Retinol,286.22966558,5.510300000000006,Retinoid
34_4-hydroxy-2-nonenal,156.115029752,1.6826999999999999,"α,β-Unsaturated"
35_Cinnamaldehyde,132.057514876,1.8987,Aromatic
36_3-(4-Isopropylphenyl)-2-methylpropanal,190.135765196,3.1875000000000018,Aromatic
37_thiobenzaldehyde,122.019021192,2.0343999999999998,Aromatic
"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",176.032087976,-2.8065999999999995,Aromatic
39_4-nitrobenzaldehyde,151.02694302,1.4073,Aromatic
3_propylaldehyde,58.041864812,0.5952999999999999,Short-chain
40_Furan-2-carbaldehyde,250.998535352,3.3207000000000013,Aromatic
41_Indole-3-acetaldehyde,159.068413908,1.9093,Aromatic
42_Glutamate-5-semialdehyde,131.058243148,-0.6225999999999998,Semialdehyde
43_Glutamate-1-semialdehyde,131.058243148,-0.6225999999999998,Semialdehyde
44_glutarate semialdehyde,116.04734411599999,0.4402,Semialdehyde
45_adipate semialdehyde,130.06299418,0.8303,Semialdehyde
46_Succinic semialdehyde,102.03169405199999,0.05010000000000003,Semialdehyde
47_methylmalonate semialdehyde,102.03169405199999,-0.09400000000000008,Semialdehyde
48_alpha-aminoadipate semialdehyde,145.073893212,-0.23249999999999993,Semialdehyde
49_2-Aminomuconic semialdehyde,141.042593084,-0.33129999999999993,Semialdehyde
4_malonaldehyde,72.021129368,-0.2257,Short-chain
50_10-formyltetrahydrofolate,473.165896076,-0.7310999999999985,Other
51_6R-Tetrahydrofolic acid,445.170981456,-0.2819999999999996,Other
52_Triose phosphate,169.99802457400003,-1.3445000000000003,Other
53_Pyridoxal phosphate,247.02457367000002,0.51742,Other
55_Ethanol,46.041864812,-0.0014000000000000679,Other
56_S-hydroxy-methylglutathione,337.09437094800006,-2.452899999999996,Other
57_S-3-oxopropylglutathione,363.11002101200006,-1.8136999999999959,Other
58_S-(4-oxobutan-2-yl)glutathione,377.12567107600006,-1.425199999999996,Other
59_4-Hydroxynonenal_glutathione,463.1988360159999,-0.34649999999999453,Other
5_butyraldehyde,72.057514876,0.9854,Short-chain
60_S-Formylglutathione,335.07872088400006,-2.212499999999997,Other
6_amylaldehyde,86.07316494,1.3755,Short-chain
7_glutaraldehyde,100.052429496,0.5545,Medium-chain
8_hexanal,100.088815004,1.7656,Medium-chain
9_2-hydroxypropionaldehyde,74.036779432,-0.43389999999999995,Short-chain
