protein,rank1_confidence
A10,0.04
A10,0.3
A10,-0.08
A10,0.24
A10,-0.18
A10,-0.34
A10,-0.74
A10,-2.63
A10,-2.25
A10,-1.7
A10,0.6
A10,-0.71
A10,-0.41
A10,-0.36
A10,-0.4
A10,-2.38
A10,-2.19
A10,-2.34
A10,-0.57
A10,-0.99
A10,-0.62
A10,0.27
A10,-1.13
A10,-1.74
A10,-1.2
A10,-1.99
A10,-1.19
A10,-0.27
A10,-1.88
A10,-0.8
A10,-0.39
A10,-0.83
A10,0.37
A10,-0.02
A10,-0.55
A10,-0.15
A10,-0.36
A10,0.1
A10,-0.13
A10,-0.08
A10,-0.39
A10,-0.14
A10,-0.24
A10,-0.31
A10,-0.59
A10,-0.37
A10,-0.32
A10,-0.74
A10,-0.15
A10,-0.79
A10,-0.86
A10,-1.38
A10,-1.13
A10,0.28
A10,-0.97
A10,0.01
A10,-0.08
A10,-0.24
A10,-0.12
A11,-0.15
A11,0.0
A11,-0.13
A11,-0.15
A11,-0.28
A11,-0.43
A11,-0.4
A11,-0.58
A11,-0.59
A11,-1.18
A11,0.29
A11,-0.28
A11,-0.43
A11,-0.39
A11,-0.16
A11,-0.86
A11,-1.63
A11,-1.07
A11,-0.09
A11,-0.44
A11,-0.63
A11,0.14
A11,-0.35
A11,-1.23
A11,-1.13
A11,-1.12
A11,-0.52
A11,-0.24
A11,-0.94
A11,-0.3
A11,-0.89
A11,-0.34
A11,-0.03
A11,-0.12
A11,-0.38
A11,-0.33
A11,-0.35
A11,-0.18
A11,-0.28
A11,-0.32
A11,-0.37
A11,-0.38
A11,-0.52
A11,-0.26
A11,-0.57
A11,-0.49
A11,-0.57
A11,-0.81
A11,-0.2
A11,-1.3
A11,-1.82
A11,-1.43
A11,-0.77
A11,-0.15
A11,-1.63
A11,-0.37
A11,-0.54
A11,-0.43
A11,-0.14
A12,-0.32
A12,-0.14
A12,-0.22
A12,-0.1
A12,-0.59
A12,-0.92
A12,-0.75
A12,-0.81
A12,-0.67
A12,-0.56
A12,-0.2
A12,-0.81
A12,-0.93
A12,-0.8
A12,-0.88
A12,-0.72
A12,-0.65
A12,-0.75
A12,-0.15
A12,-0.59
A12,-0.32
A12,-0.09
A12,-0.97
A12,-1.57
A12,-0.85
A12,-1.62
A12,-0.82
A12,-0.6
A12,-1.68
A12,-0.2
A12,-1.27
A12,-0.49
A12,-0.06
A12,-0.61
A12,-0.52
A12,-0.32
A12,-0.44
A12,-0.28
A12,-0.44
A12,-0.12
A12,-0.36
A12,-0.46
A12,-0.21
A12,-0.19
A12,-1.42
A12,-1.51
A12,-0.65
A12,-0.59
A12,-0.51
A12,-0.38
A12,-0.46
A12,-1.21
A12,-1.59
A12,-0.06
A12,-0.44
A12,-0.26
A12,-0.27
A12,-0.7
A12,-0.13
A13,-0.7
A13,-0.4
A13,-0.17
A13,-0.68
A13,-0.91
A13,-1.43
A13,-0.84
A13,-0.52
A13,-1.51
A13,-1.41
A13,0.25
A13,-1.11
A13,-0.68
A13,-1.37
A13,-1.18
A13,-0.93
A13,-2.02
A13,-1.58
A13,-0.55
A13,-1.21
A13,-1.36
A13,-0.1
A13,-1.56
A13,-2.39
A13,-2.26
A13,-2.45
A13,-1.03
A13,-1.48
A13,-1.78
A13,-0.36
A13,-0.9
A13,-0.58
A13,-0.36
A13,-0.77
A13,-0.6
A13,-0.45
A13,-0.68
A13,-0.19
A13,-0.53
A13,-0.33
A13,-0.71
A13,-0.76
A13,-0.56
A13,-0.32
A13,-1.45
A13,-1.03
A13,-0.73
A13,-0.77
A13,-0.06
A13,-1.18
A13,-1.25
A13,-1.6
A13,-1.47
A13,-0.63
A13,-0.98
A13,-0.77
A13,-0.42
A13,-0.81
A13,-0.55
A14,-0.27
A14,-0.32
A14,-0.32
A14,-0.82
A14,-0.47
A14,-1.21
A14,-0.77
A14,-0.52
A14,-0.59
A14,-1.07
A14,0.33
A14,-2.24
A14,-1.3
A14,-0.48
A14,-0.99
A14,-0.63
A14,-1.14
A14,-1.23
A14,-0.95
A14,-1.91
A14,-1.48
A14,0.44
A14,-1.01
A14,-0.59
A14,-1.02
A14,-1.03
A14,-0.46
A14,-1.2
A14,-0.65
A14,-0.52
A14,-0.74
A14,-1.51
A14,-0.1
A14,-0.54
A14,-0.43
A14,-0.77
A14,-0.55
A14,-0.52
A14,-0.43
A14,-0.5
A14,-0.9
A14,-0.3
A14,-0.72
A14,-0.53
A14,-1.05
A14,-1.54
A14,-0.45
A14,-0.48
A14,-0.28
A14,-0.65
A14,-1.15
A14,-1.44
A14,-0.83
A14,-0.61
A14,-0.79
A14,-1.07
A14,-0.64
A14,-0.57
A14,-0.39
A8,-0.27
A8,0.31
A8,-0.07
A8,0.16
A8,0.1
A8,-0.13
A8,-0.32
A8,-0.39
A8,-0.53
A8,-0.74
A8,0.52
A8,-0.37
A8,-0.3
A8,-0.33
A8,-0.25
A8,-1.14
A8,-1.24
A8,-1.32
A8,-0.14
A8,-0.09
A8,-0.26
A8,0.17
A8,-0.45
A8,-2.94
A8,-2.98
A8,-2.88
A8,-0.28
A8,-0.02
A8,-1.81
A8,0.0
A8,-0.8
A8,-0.61
A8,0.13
A8,-0.6
A8,-0.22
A8,-0.2
A8,-0.28
A8,-0.24
A8,-0.18
A8,-0.39
A8,-0.41
A8,-0.3
A8,-0.49
A8,-0.25
A8,-1.21
A8,-1.15
A8,-0.53
A8,-0.4
A8,-0.12
A8,-1.31
A8,-1.27
A8,-1.96
A8,-0.83
A8,0.12
A8,-1.18
A8,0.15
A8,-0.21
A8,0.07
A8,-0.22
A9,-0.38
A9,0.11
A9,-0.11
A9,-0.23
A9,-0.25
A9,-0.43
A9,-0.45
A9,-0.3
A9,-0.48
A9,-0.68
A9,0.21
A9,-0.2
A9,-0.59
A9,-0.49
A9,-0.09
A9,-0.54
A9,-0.52
A9,-0.82
A9,-0.14
A9,-0.18
A9,-0.79
A9,0.14
A9,-0.23
A9,-0.91
A9,-0.63
A9,-1.13
A9,-0.31
A9,0.08
A9,-0.52
A9,-0.07
A9,-0.84
A9,-0.73
A9,0.18
A9,-0.91
A9,-0.34
A9,-0.13
A9,-0.35
A9,-0.51
A9,-0.16
A9,-0.19
A9,-0.27
A9,-0.46
A9,-0.61
A9,-0.21
A9,-1.03
A9,-0.49
A9,-0.69
A9,-0.67
A9,-0.14
A9,-1.86
A9,-1.85
A9,-2.36
A9,-1.58
A9,-0.03
A9,-1.09
A9,-0.14
A9,-0.26
A9,-0.26
A9,-0.05
