protein,ligand,DG,col_index,lig_num,category
A8,49_2-Aminomuconic semialdehyde,-6.52,0,49,Semialdehyde
A9,49_2-Aminomuconic semialdehyde,-6.46,0,49,Semialdehyde
A10,49_2-Aminomuconic semialdehyde,-6.38,0,49,Semialdehyde
A11,49_2-Aminomuconic semialdehyde,-6.21,0,49,Semialdehyde
A12,49_2-Aminomuconic semialdehyde,-6.47,0,49,Semialdehyde
A13,49_2-Aminomuconic semialdehyde,-6.31,0,49,Semialdehyde
A14,49_2-Aminomuconic semialdehyde,-6.59,0,49,Semialdehyde
A8,6_amylaldehyde,-6.47,1,6,Short-chain
A9,6_amylaldehyde,-6.4,1,6,Short-chain
A10,6_amylaldehyde,-6.4,1,6,Short-chain
A11,6_amylaldehyde,-6.22,1,6,Short-chain
A12,6_amylaldehyde,-6.46,1,6,Short-chain
A13,6_amylaldehyde,-6.49,1,6,Short-chain
A14,6_amylaldehyde,-6.63,1,6,Short-chain
A8,48_alpha-aminoadipate semialdehyde,-6.53,2,48,Semialdehyde
A9,48_alpha-aminoadipate semialdehyde,-6.55,2,48,Semialdehyde
A10,48_alpha-aminoadipate semialdehyde,-6.33,2,48,Semialdehyde
A11,48_alpha-aminoadipate semialdehyde,-6.42,2,48,Semialdehyde
A12,48_alpha-aminoadipate semialdehyde,-6.43,2,48,Semialdehyde
A13,48_alpha-aminoadipate semialdehyde,-6.54,2,48,Semialdehyde
A14,48_alpha-aminoadipate semialdehyde,-6.3,2,48,Semialdehyde
A8,44_glutarate semialdehyde,-6.51,3,44,Semialdehyde
A9,44_glutarate semialdehyde,-6.43,3,44,Semialdehyde
A10,44_glutarate semialdehyde,-6.51,3,44,Semialdehyde
A11,44_glutarate semialdehyde,-6.4,3,44,Semialdehyde
A12,44_glutarate semialdehyde,-6.4,3,44,Semialdehyde
A13,44_glutarate semialdehyde,-6.46,3,44,Semialdehyde
A14,44_glutarate semialdehyde,-6.39,3,44,Semialdehyde
A8,7_glutaraldehyde,-6.48,4,7,Medium-chain
A9,7_glutaraldehyde,-6.4,4,7,Medium-chain
A10,7_glutaraldehyde,-6.46,4,7,Medium-chain
A11,7_glutaraldehyde,-6.39,4,7,Medium-chain
A12,7_glutaraldehyde,-6.39,4,7,Medium-chain
A13,7_glutaraldehyde,-6.46,4,7,Medium-chain
A14,7_glutaraldehyde,-6.36,4,7,Medium-chain
A8,27_Benzaldehyde,-6.95,5,27,Aromatic
A9,27_Benzaldehyde,-6.89,5,27,Aromatic
A10,27_Benzaldehyde,-6.95,5,27,Aromatic
A11,27_Benzaldehyde,-6.58,5,27,Aromatic
A12,27_Benzaldehyde,-6.97,5,27,Aromatic
A13,27_Benzaldehyde,-6.9,5,27,Aromatic
A14,27_Benzaldehyde,-5.89,5,27,Aromatic
A8,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.64,6,38,Aromatic
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.69,6,38,Aromatic
A10,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.64,6,38,Aromatic
A11,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.66,6,38,Aromatic
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.61,6,38,Aromatic
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.59,6,38,Aromatic
A14,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.68,6,38,Aromatic
A8,45_adipate semialdehyde,-6.75,7,45,Semialdehyde
A9,45_adipate semialdehyde,-6.66,7,45,Semialdehyde
A10,45_adipate semialdehyde,-6.73,7,45,Semialdehyde
A11,45_adipate semialdehyde,-6.66,7,45,Semialdehyde
A12,45_adipate semialdehyde,-6.61,7,45,Semialdehyde
A13,45_adipate semialdehyde,-6.64,7,45,Semialdehyde
A14,45_adipate semialdehyde,-6.64,7,45,Semialdehyde
A8,39_4-nitrobenzaldehyde,-6.69,8,39,Aromatic
A9,39_4-nitrobenzaldehyde,-6.63,8,39,Aromatic
A10,39_4-nitrobenzaldehyde,-6.74,8,39,Aromatic
A11,39_4-nitrobenzaldehyde,-6.48,8,39,Aromatic
A12,39_4-nitrobenzaldehyde,-6.68,8,39,Aromatic
