protein,DG_prediction_kcalmol
A10,-5.81
A10,-5.99
A10,-5.92
A10,-6.21
A10,-6.64
A10,-6.87
A10,-7.05
A10,-7.25
A10,-7.48
A10,-7.86
A10,-7.51
A10,-7.07
A10,-7.03
A10,-7.42
A10,-8.16
A10,-7.97
A10,-8.06
A10,-6.95
A10,-6.98
A10,-6.95
A10,-5.72
A10,-7.36
A10,-9.16
A10,-9.55
A10,-7.38
A10,-6.72
A10,-8.24
A10,-6.64
A10,-6.74
A10,-5.96
A10,-7.59
A10,-7.43
A10,-6.29
A10,-6.21
A10,-6.51
A10,-6.73
A10,-6.24
A10,-6.23
A10,-6.33
A10,-6.38
A10,-5.96
A10,-7.87
A10,-6.06
A10,-6.68
A10,-7.5
A10,-8.03
A10,-6.2
A10,-7.71
A10,-6.4
A10,-6.46
A10,-6.62
A10,-6.0
A11,-6.09
A11,-5.86
A11,-5.82
A11,-6.04
A11,-6.4
A11,-6.63
A11,-6.69
A11,-6.82
A11,-6.95
A11,-7.35
A11,-7.17
A11,-6.69
A11,-6.71
A11,-7.07
A11,-7.12
A11,-7.42
A11,-7.38
A11,-6.58
A11,-6.78
A11,-6.69
A11,-5.65
A11,-7.02
A11,-8.72
A11,-8.24
A11,-7.06
A11,-6.99
A11,-7.51
A11,-6.66
A11,-6.48
A11,-5.84
A11,-7.67
A11,-7.21
A11,-6.12
A11,-5.99
A11,-6.4
A11,-6.66
A11,-6.13
A11,-6.12
A11,-6.42
A11,-6.21
A11,-5.89
A11,-8.19
A11,-6.1
A11,-6.91
A11,-7.82
A11,-8.21
A11,-6.06
A11,-7.39
A11,-6.22
A11,-6.39
A11,-6.48
A11,-5.86
A12,-5.94
A12,-5.92
A12,-5.96
A12,-6.21
A12,-6.7
A12,-6.97
A12,-7.14
A12,-7.39
A12,-7.56
A12,-8.08
A12,-7.57
A12,-7.27
A12,-7.29
A12,-7.31
A12,-8.58
A12,-9.0
A12,-8.95
A12,-6.97
A12,-7.15
A12,-6.98
A12,-5.68
A12,-7.39
A12,-10.45
A12,-9.81
A12,-7.5
A12,-7.54
A12,-8.45
A12,-6.61
A12,-6.68
A12,-5.92
A12,-7.91
A12,-7.62
A12,-6.19
A12,-6.26
A12,-6.4
A12,-6.61
A12,-6.19
A12,-6.17
A12,-6.43
A12,-6.47
A12,-5.95
A12,-7.99
A12,-6.05
A12,-7.06
A12,-8.23
A12,-8.36
A12,-6.2
A12,-7.52
A12,-6.46
A12,-6.39
A12,-6.69
A12,-5.94
A13,-5.56
A13,-5.99
A13,-5.96
A13,-6.23
A13,-6.76
A13,-6.98
A13,-7.15
A13,-7.42
A13,-7.38
A13,-8.24
A13,-7.82
A13,-7.16
A13,-6.95
A13,-7.38
A13,-8.43
A13,-9.06
A13,-8.8
A13,-6.9
A13,-7.29
A13,-6.96
A13,-5.73
A13,-7.46
A13,-9.67
A13,-9.66
A13,-7.4
A13,-7.38
A13,-8.26
A13,-6.59
A13,-6.72
A13,-5.96
A13,-7.88
A13,-7.49
A13,-6.24
A13,-6.21
A13,-6.46
A13,-6.64
A13,-6.2
A13,-6.25
A13,-6.54
A13,-6.31
A13,-5.96
A13,-7.29
A13,-6.12
A13,-6.96
A13,-7.78
A13,-7.76
A13,-6.28
A13,-7.09
