protein,ligand,DG,is_strong,lig_num,category,short_name,n_prots
A10,10_4-guanidinobutyraldehyde,-5.81,0,10,Semialdehyde,γ-guanidinobutyr-ald.,0.0
A10,11_prop-2-enal,-5.99,0,11,"α,β-Unsaturated",prop-2-enal,0.0
A10,12_prop-2-ynal,-5.92,0,12,"α,β-Unsaturated",prop-2-ynal,0.0
A10,13_(2E)-but-2-enal,-6.21,0,13,"α,β-Unsaturated",(2E)-but-2-enal,0.0
A10,14_trans-2-Hexenal,-6.64,0,14,"α,β-Unsaturated",trans-2-Hexenal,0.0
A10,15_heptanal,-6.87,0,15,Medium-chain,heptanal,1.0
A10,16_octanaldehyde,-7.05,1,16,Medium-chain,octanaldehyde,6.0
A10,17_nonanal,-7.25,1,17,Medium-chain,nonanal,6.0
A10,18_decanal,-7.48,1,18,Medium-chain,decanal,6.0
A10,19_dodecanal,-7.86,1,19,Medium-chain,dodecanal,7.0
A10,20_Citral,-7.51,1,20,"α,β-Unsaturated",Citral,7.0
A10,21_cis-2-Octenal,-7.07,1,21,"α,β-Unsaturated",cis-2-Octenal,6.0
A10,22_trans-2-Octenal,-7.03,1,22,"α,β-Unsaturated",trans-2-Octenal,5.0
A10,23_4-Hydroxynonenal,-7.42,1,23,"α,β-Unsaturated",4-HNE,7.0
A10,24_Tetradecanal,-8.16,1,24,Medium-chain,Tetradecanal,7.0
A10,25_hexadecanal,-7.97,1,25,Medium-chain,hexadecanal,7.0
A10,26_trans-2-hexadecenal,-8.06,1,26,"α,β-Unsaturated",t-2-hexadecenal,7.0
A10,27_Benzaldehyde,-6.95,0,27,Aromatic,benzald.,0.0
A10,28_Phenylacetaldehyde,-6.98,0,28,Aromatic,phenylacetald.,5.0
A10,29_Salicylaldehyde,-6.95,0,29,Aromatic,salicylald.,2.0
A10,2_acetaldehyde,-5.72,0,2,Short-chain,acetaldehyde,0.0
A10,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.36,1,30,Aromatic,"3,4-(OH)₂-cinnamald.",7.0
A10,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.16,1,31,Retinoid,β-carotene ald.,7.0
A10,32_9-cis-Retinal,-9.55,1,32,Retinoid,9-cis-retinal,7.0
A10,34_4-hydroxy-2-nonenal,-7.38,1,34,"α,β-Unsaturated",4-OH-2-nonenal,7.0
A10,35_Cinnamaldehyde,-6.72,0,35,Aromatic,cinnamald.,5.0
A10,36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.24,1,36,Aromatic,iPr-Ph methylpropanal,7.0
A10,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.64,0,38,Aromatic,DHF-OH-acetald.,0.0
A10,39_4-nitrobenzaldehyde,-6.74,0,39,Aromatic,4-NO₂-benzald.,0.0
A10,3_propylaldehyde,-5.96,0,3,Short-chain,propylaldehyde,0.0
A10,40_Furan-2-carbaldehyde,-7.59,1,40,Aromatic,furan-2-carbald.,7.0
A10,41_Indole-3-acetaldehyde,-7.43,1,41,Aromatic,indole-3-acetald.,7.0
A10,42_Glutamate-5-semialdehyde,-6.29,0,42,Semialdehyde,Glu-5-semiald.,0.0
A10,43_Glutamate-1-semialdehyde,-6.21,0,43,Semialdehyde,Glu-1-semiald.,0.0
A10,44_glutarate semialdehyde,-6.51,0,44,Semialdehyde,glutarate-semiald.,0.0
A10,45_adipate semialdehyde,-6.73,0,45,Semialdehyde,adipate-semiald.,0.0
A10,46_Succinic semialdehyde,-6.24,0,46,Semialdehyde,succinic-semiald.,0.0
A10,47_methylmalonate semialdehyde,-6.23,0,47,Semialdehyde,MeMal-semiald.,0.0
A10,48_alpha-aminoadipate semialdehyde,-6.33,0,48,Semialdehyde,α-AASA,0.0
A10,49_2-Aminomuconic semialdehyde,-6.38,0,49,Semialdehyde,2-AM-semiald.,0.0
A10,4_malonaldehyde,-5.96,0,4,Short-chain,malonaldehyde,0.0
A10,50_10-formyltetrahydrofolate,-7.87,1,50,Other,10-formyl-THF,7.0
A10,52_Triose phosphate,-6.06,0,52,Other,Triose phosphate,0.0
A10,53_Pyridoxal phosphate,-6.68,0,53,Other,Pyridoxal phosphate,1.0
A10,57_S-3-oxopropylglutathione,-7.5,1,57,Other,S-3-oxopropyl-GSH,7.0
A10,58_S-(4-oxobutan-2-yl)glutathione,-8.03,1,58,Other,S-4-oxobutyl-GSH,7.0
A10,5_butyraldehyde,-6.2,0,5,Short-chain,butyraldehyde,0.0
A10,60_S-Formylglutathione,-7.71,1,60,Other,S-formyl-GSH,7.0
A10,6_amylaldehyde,-6.4,0,6,Short-chain,amylaldehyde,0.0
A10,7_glutaraldehyde,-6.46,0,7,Medium-chain,glutaraldehyde,0.0
A10,8_hexanal,-6.62,0,8,Medium-chain,hexanal,0.0
A10,9_2-hydroxypropionaldehyde,-6.0,0,9,Short-chain,2-hydroxypropionaldeh…,0.0
A11,10_4-guanidinobutyraldehyde,-6.09,0,10,Semialdehyde,γ-guanidinobutyr-ald.,0.0
A11,11_prop-2-enal,-5.86,0,11,"α,β-Unsaturated",prop-2-enal,0.0
A11,12_prop-2-ynal,-5.82,0,12,"α,β-Unsaturated",prop-2-ynal,0.0
