ligand,n_prots,lig_num,category
2_acetaldehyde,0.0,2,Short-chain
3_propylaldehyde,2.0,3,Short-chain
4_malonaldehyde,1.0,4,Short-chain
5_butyraldehyde,7.0,5,Short-chain
6_amylaldehyde,7.0,6,Short-chain
7_glutaraldehyde,7.0,7,Medium-chain
8_hexanal,7.0,8,Medium-chain
9_2-hydroxypropionaldehyde,4.0,9,Short-chain
10_4-guanidinobutyraldehyde,2.0,10,Semialdehyde
11_prop-2-enal,2.0,11,"α,β-Unsaturated"
12_prop-2-ynal,1.0,12,"α,β-Unsaturated"
13_(2E)-but-2-enal,7.0,13,"α,β-Unsaturated"
14_trans-2-Hexenal,7.0,14,"α,β-Unsaturated"
15_heptanal,7.0,15,Medium-chain
16_octanaldehyde,7.0,16,Medium-chain
17_nonanal,7.0,17,Medium-chain
18_decanal,7.0,18,Medium-chain
19_dodecanal,7.0,19,Medium-chain
20_Citral,7.0,20,"α,β-Unsaturated"
21_cis-2-Octenal,7.0,21,"α,β-Unsaturated"
22_trans-2-Octenal,7.0,22,"α,β-Unsaturated"
23_4-Hydroxynonenal,7.0,23,"α,β-Unsaturated"
24_Tetradecanal,7.0,24,Medium-chain
25_hexadecanal,7.0,25,Medium-chain
26_trans-2-hexadecenal,7.0,26,"α,β-Unsaturated"
27_Benzaldehyde,6.0,27,Aromatic
28_Phenylacetaldehyde,7.0,28,Aromatic
29_Salicylaldehyde,7.0,29,Aromatic
"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",7.0,30,Aromatic
"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",7.0,31,Retinoid
32_9-cis-Retinal,7.0,32,Retinoid
34_4-hydroxy-2-nonenal,7.0,34,"α,β-Unsaturated"
35_Cinnamaldehyde,7.0,35,Aromatic
36_3-(4-Isopropylphenyl)-2-methylpropanal,7.0,36,Aromatic
"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",7.0,38,Aromatic
39_4-nitrobenzaldehyde,7.0,39,Aromatic
40_Furan-2-carbaldehyde,7.0,40,Aromatic
41_Indole-3-acetaldehyde,7.0,41,Aromatic
42_Glutamate-5-semialdehyde,7.0,42,Semialdehyde
43_Glutamate-1-semialdehyde,6.0,43,Semialdehyde
44_glutarate semialdehyde,7.0,44,Semialdehyde
45_adipate semialdehyde,7.0,45,Semialdehyde
46_Succinic semialdehyde,7.0,46,Semialdehyde
47_methylmalonate semialdehyde,7.0,47,Semialdehyde
48_alpha-aminoadipate semialdehyde,7.0,48,Semialdehyde
49_2-Aminomuconic semialdehyde,7.0,49,Semialdehyde
50_10-formyltetrahydrofolate,7.0,50,Other
52_Triose phosphate,7.0,52,Other
53_Pyridoxal phosphate,7.0,53,Other
57_S-3-oxopropylglutathione,7.0,57,Other
58_S-(4-oxobutan-2-yl)glutathione,7.0,58,Other
60_S-Formylglutathione,7.0,60,Other
