protein,distance
A10,2.512
A10,2.448
A10,2.068
A10,1.927
A10,2.231
A10,2.256
A10,1.351
A10,1.559
A10,1.787
A10,1.816
A10,1.263
A10,2.017
A10,1.633
A10,5.897
A10,1.39
A10,1.95
A10,1.38
A10,1.7
A10,15.207
A10,1.738
A10,1.861
A10,1.973
A10,1.978
A10,3.713
A10,3.489
A10,47.32
A10,1.791
A10,3.089
A10,2.586
A10,2.424
A10,11.451
A10,10.463
A10,5.858
A10,1.72
A10,5.503
A10,3.06
A10,4.616
A10,2.481
A10,2.954
A10,7.093
A10,2.064
A10,14.232
A10,4.336
A10,15.479
A10,5.404
A10,2.767
A10,1.949
A10,5.146
A10,2.105
A10,5.556
A10,2.264
A10,1.64
A11,1.814
A11,1.806
A11,2.21
A11,2.094
A11,2.049
A11,2.062
A11,2.169
A11,2.178
A11,1.678
A11,2.239
A11,1.886
A11,1.463
A11,2.219
A11,2.8
A11,2.228
A11,1.816
A11,1.929
A11,1.871
A11,2.266
A11,2.207
A11,2.21
A11,8.187
A11,3.488
A11,1.863
A11,2.77
A11,2.57
A11,1.591
A11,3.602
A11,2.212
A11,2.102
A11,11.223
A11,2.22
A11,6.251
A11,1.815
A11,3.256
A11,3.276
A11,3.365
A11,2.592
A11,7.442
A11,6.893
A11,2.931
A11,14.839
A11,4.606
A11,12.414
A11,9.74
A11,5.484
A11,2.284
A11,4.758
A11,2.111
A11,2.143
A11,1.987
A11,1.635
A12,5.565
A12,5.168
A12,5.534
A12,5.528
A12,5.344
A12,5.407
A12,5.564
A12,5.572
A12,5.686
A12,5.389
A12,5.838
A12,5.613
A12,5.444
A12,5.506
A12,5.57
A12,5.502
A12,5.742
A12,5.01
A12,4.951
A12,4.824
A12,5.165
A12,5.817
A12,5.763
A12,5.564
A12,6.785
A12,5.472
A12,5.098
A12,5.455
A12,5.767
A12,5.145
A12,5.11
A12,5.292
A12,1.536
A12,5.41
A12,1.645
A12,1.862
A12,2.357
A12,3.169
A12,2.138
A12,1.965
A12,3.096
A12,14.408
A12,2.02
A12,3.85
A12,6.977
A12,6.553
A12,5.222
A12,6.213
A12,5.572
A12,1.605
A12,5.566
A12,5.158
A13,8.034
A13,4.42
A13,3.631
A13,3.778
A13,3.023
A13,7.961
A13,1.92
A13,7.132
A13,1.302
A13,6.945
A13,3.119
A13,3.253
A13,1.382
A13,11.468
A13,7.434
A13,2.092
A13,5.451
A13,4.134
A13,2.953
A13,6.249
A13,3.418
A13,8.782
A13,8.769
A13,2.954
A13,6.727
A13,8.499
A13,14.103
A13,3.078
A13,3.057
A13,4.039
A13,13.516
A13,3.56
A13,2.854
A13,7.377
A13,2.972
A13,4.305
A13,3.118
A13,5.025
A13,2.762
A13,2.951
A13,3.428
A13,6.739
A13,4.428
A13,14.125
A13,2.628
A13,11.799
A13,3.647
A13,2.979
A13,6.314
A13,7.758
A13,6.478
A13,3.096
A14,2.998
A14,1.267
A14,2.223
A14,1.931
A14,4.354
A14,1.85
A14,3.046
A14,9.877
A14,2.565
A14,4.425
A14,3.88
A14,5.449
A14,2.298
A14,10.293
A14,10.1
A14,6.389
A14,4.645
A14,34.477
A14,2.581
A14,4.199
A14,9.882
A14,7.302
A14,5.69
A14,8.761
A14,2.277
A14,11.804
A14,11.392
A14,3.645
A14,2.895
A14,1.109
A14,10.24
A14,11.081
A14,8.23
A14,4.089
A14,6.654
A14,5.663
A14,4.247
A14,2.904
A14,9.599
A14,3.458
A14,2.983
A14,14.252
A14,8.896
A14,12.748
A14,2.991
A14,15.727
A14,0.95
A14,4.527
A14,1.828
A14,7.531
A14,3.84
A14,1.904
A8,2.365
A8,2.256
A8,2.056
A8,1.94
A8,1.88
A8,1.96
A8,2.059
A8,1.647
A8,2.0
A8,2.514
A8,1.592
A8,1.686
A8,1.858
A8,2.134
A8,2.096
A8,2.266
A8,2.274
A8,3.056
A8,2.829
A8,2.656
A8,2.462
A8,7.729
A8,2.084
A8,2.399
A8,2.069
A8,1.949
A8,1.594
A8,3.249
A8,2.146
A8,2.031
A8,1.747
A8,2.907
A8,6.207
A8,1.984
A8,5.852
A8,6.897
A8,4.459
A8,4.347
A8,7.252
A8,6.89
A8,4.389
A8,14.365
A8,5.858
A8,16.654
A8,4.168
A8,6.12
A8,2.208
A8,5.307
A8,2.558
A8,7.02
A8,2.313
A8,1.99
A9,2.303
A9,2.023
A9,2.506
A9,3.093
A9,2.699
A9,2.337
A9,2.197
A9,2.338
A9,1.598
A9,2.521
A9,2.256
A9,1.257
A9,1.74
A9,2.964
A9,1.71
A9,1.438
A9,1.614
A9,2.418
A9,2.152
A9,2.294
A9,2.633
A9,2.763
A9,1.835
A9,5.125
A9,2.733
A9,2.011
A9,2.101
A9,2.924
A9,2.023
A9,2.375
A9,1.963
A9,2.776
A9,4.303
A9,2.941
A9,6.194
A9,7.153
A9,3.974
A9,3.086
A9,6.962
A9,7.803
A9,3.818
A9,15.536
A9,5.304
A9,7.112
A9,6.001
A9,6.521
A9,2.17
A9,4.076
A9,2.554
A9,1.781
A9,2.442
A9,2.403
