pose,DG
Productive (≤ 4 Å),-5.81
Productive (≤ 4 Å),-5.99
Productive (≤ 4 Å),-5.92
Productive (≤ 4 Å),-6.21
Productive (≤ 4 Å),-6.64
Productive (≤ 4 Å),-6.87
Productive (≤ 4 Å),-7.05
Productive (≤ 4 Å),-7.25
Productive (≤ 4 Å),-7.48
Productive (≤ 4 Å),-7.86
Productive (≤ 4 Å),-7.51
Productive (≤ 4 Å),-7.07
Productive (≤ 4 Å),-7.03
Non-productive (> 4 Å),-7.42
Productive (≤ 4 Å),-8.16
Productive (≤ 4 Å),-7.97
Productive (≤ 4 Å),-8.06
Productive (≤ 4 Å),-6.95
Non-productive (> 4 Å),-6.98
Productive (≤ 4 Å),-6.95
Productive (≤ 4 Å),-5.72
Productive (≤ 4 Å),-7.36
Productive (≤ 4 Å),-9.16
Productive (≤ 4 Å),-9.55
Productive (≤ 4 Å),-7.38
Non-productive (> 4 Å),-6.72
Productive (≤ 4 Å),-8.24
Productive (≤ 4 Å),-6.64
Productive (≤ 4 Å),-6.74
Productive (≤ 4 Å),-5.96
Non-productive (> 4 Å),-7.59
Non-productive (> 4 Å),-7.43
Non-productive (> 4 Å),-6.29
Productive (≤ 4 Å),-6.21
Non-productive (> 4 Å),-6.51
Productive (≤ 4 Å),-6.73
Non-productive (> 4 Å),-6.24
Productive (≤ 4 Å),-6.23
Productive (≤ 4 Å),-6.33
Non-productive (> 4 Å),-6.38
Productive (≤ 4 Å),-5.96
Non-productive (> 4 Å),-7.87
Non-productive (> 4 Å),-6.06
Non-productive (> 4 Å),-6.68
Non-productive (> 4 Å),-7.5
Productive (≤ 4 Å),-8.03
Productive (≤ 4 Å),-6.2
Non-productive (> 4 Å),-7.71
Productive (≤ 4 Å),-6.4
Non-productive (> 4 Å),-6.46
Productive (≤ 4 Å),-6.62
Productive (≤ 4 Å),-6.0
Productive (≤ 4 Å),-6.09
Productive (≤ 4 Å),-5.86
Productive (≤ 4 Å),-5.82
Productive (≤ 4 Å),-6.04
Productive (≤ 4 Å),-6.4
Productive (≤ 4 Å),-6.63
Productive (≤ 4 Å),-6.69
Productive (≤ 4 Å),-6.82
Productive (≤ 4 Å),-6.95
Productive (≤ 4 Å),-7.35
Productive (≤ 4 Å),-7.17
Productive (≤ 4 Å),-6.69
Productive (≤ 4 Å),-6.71
Productive (≤ 4 Å),-7.07
Productive (≤ 4 Å),-7.12
Productive (≤ 4 Å),-7.42
Productive (≤ 4 Å),-7.38
Productive (≤ 4 Å),-6.58
Productive (≤ 4 Å),-6.78
Productive (≤ 4 Å),-6.69
Productive (≤ 4 Å),-5.65
Non-productive (> 4 Å),-7.02
Productive (≤ 4 Å),-8.72
Productive (≤ 4 Å),-8.24
Productive (≤ 4 Å),-7.06
Productive (≤ 4 Å),-6.99
Productive (≤ 4 Å),-7.51
Productive (≤ 4 Å),-6.66
Productive (≤ 4 Å),-6.48
Productive (≤ 4 Å),-5.84
Non-productive (> 4 Å),-7.67
Productive (≤ 4 Å),-7.21
