category,DG
Semialdehyde,-5.81
"α,β-Unsaturated",-5.99
"α,β-Unsaturated",-5.92
"α,β-Unsaturated",-6.21
"α,β-Unsaturated",-6.64
Medium-chain,-6.87
Medium-chain,-7.05
Medium-chain,-7.25
Medium-chain,-7.48
Medium-chain,-7.86
"α,β-Unsaturated",-7.51
"α,β-Unsaturated",-7.07
"α,β-Unsaturated",-7.03
"α,β-Unsaturated",-7.42
Medium-chain,-8.16
Medium-chain,-7.97
"α,β-Unsaturated",-8.06
Aromatic,-6.95
Aromatic,-6.98
Aromatic,-6.95
Short-chain,-5.72
Aromatic,-7.36
Retinoid,-9.16
Retinoid,-9.55
"α,β-Unsaturated",-7.38
Aromatic,-6.72
Aromatic,-8.24
Aromatic,-6.64
Aromatic,-6.74
Short-chain,-5.96
Aromatic,-7.59
Aromatic,-7.43
Semialdehyde,-6.29
Semialdehyde,-6.21
Semialdehyde,-6.51
Semialdehyde,-6.73
Semialdehyde,-6.24
Semialdehyde,-6.23
Semialdehyde,-6.33
Semialdehyde,-6.38
Short-chain,-5.96
Short-chain,-6.2
Short-chain,-6.4
Medium-chain,-6.46
Medium-chain,-6.62
Short-chain,-6.0
Semialdehyde,-6.09
"α,β-Unsaturated",-5.86
"α,β-Unsaturated",-5.82
"α,β-Unsaturated",-6.04
"α,β-Unsaturated",-6.4
Medium-chain,-6.63
Medium-chain,-6.69
Medium-chain,-6.82
Medium-chain,-6.95
Medium-chain,-7.35
"α,β-Unsaturated",-7.17
"α,β-Unsaturated",-6.69
"α,β-Unsaturated",-6.71
"α,β-Unsaturated",-7.07
Medium-chain,-7.12
Medium-chain,-7.42
"α,β-Unsaturated",-7.38
Aromatic,-6.58
Aromatic,-6.78
Aromatic,-6.69
Short-chain,-5.65
Aromatic,-7.02
Retinoid,-8.72
Retinoid,-8.24
"α,β-Unsaturated",-7.06
Aromatic,-6.99
Aromatic,-7.51
Aromatic,-6.66
Aromatic,-6.48
Short-chain,-5.84
Aromatic,-7.67
Aromatic,-7.21
Semialdehyde,-6.12
Semialdehyde,-5.99
Semialdehyde,-6.4
Semialdehyde,-6.66
Semialdehyde,-6.13
Semialdehyde,-6.12
Semialdehyde,-6.42
Semialdehyde,-6.21
Short-chain,-5.89
Short-chain,-6.06
Short-chain,-6.22
Medium-chain,-6.39
Medium-chain,-6.48
Short-chain,-5.86
Semialdehyde,-5.94
"α,β-Unsaturated",-5.92
"α,β-Unsaturated",-5.96
"α,β-Unsaturated",-6.21
"α,β-Unsaturated",-6.7
Medium-chain,-6.97
Medium-chain,-7.14
Medium-chain,-7.39
Medium-chain,-7.56
Medium-chain,-8.08
"α,β-Unsaturated",-7.57
"α,β-Unsaturated",-7.27
"α,β-Unsaturated",-7.29
"α,β-Unsaturated",-7.31
Medium-chain,-8.58
Medium-chain,-9.0
"α,β-Unsaturated",-8.95
Aromatic,-6.97
Aromatic,-7.15
Aromatic,-6.98
Short-chain,-5.68
Aromatic,-7.39
Retinoid,-10.45
Retinoid,-9.81
"α,β-Unsaturated",-7.5
Aromatic,-7.54
Aromatic,-8.45
Aromatic,-6.61
Aromatic,-6.68
Short-chain,-5.92
Aromatic,-7.91
Aromatic,-7.62
Semialdehyde,-6.19
Semialdehyde,-6.26
Semialdehyde,-6.4
Semialdehyde,-6.61
Semialdehyde,-6.19
Semialdehyde,-6.17
Semialdehyde,-6.43
Semialdehyde,-6.47
Short-chain,-5.95
Short-chain,-6.2
Short-chain,-6.46
Medium-chain,-6.39
Medium-chain,-6.69
Short-chain,-5.94
Semialdehyde,-5.56
"α,β-Unsaturated",-5.99
"α,β-Unsaturated",-5.96
"α,β-Unsaturated",-6.23
"α,β-Unsaturated",-6.76
Medium-chain,-6.98
Medium-chain,-7.15
Medium-chain,-7.42
Medium-chain,-7.38
Medium-chain,-8.24
"α,β-Unsaturated",-7.82
"α,β-Unsaturated",-7.16
"α,β-Unsaturated",-6.95
"α,β-Unsaturated",-7.38
Medium-chain,-8.43
Medium-chain,-9.06
"α,β-Unsaturated",-8.8
Aromatic,-6.9
Aromatic,-7.29
Aromatic,-6.96
Short-chain,-5.73
Aromatic,-7.46
Retinoid,-9.67
Retinoid,-9.66
"α,β-Unsaturated",-7.4
Aromatic,-7.38
