protein,ligand,short_name,category,DG,distance,is_productive
A10,10_4-guanidinobutyraldehyde,γ-guanidinobutyr-ald.,Semialdehyde,-5.81,2.512,True
A10,11_prop-2-enal,prop-2-enal,"α,β-Unsaturated",-5.99,2.448,True
A10,12_prop-2-ynal,prop-2-ynal,"α,β-Unsaturated",-5.92,2.068,True
A10,13_(2E)-but-2-enal,(2E)-but-2-enal,"α,β-Unsaturated",-6.21,1.927,True
A10,14_trans-2-Hexenal,trans-2-Hexenal,"α,β-Unsaturated",-6.64,2.231,True
A10,15_heptanal,heptanal,Medium-chain,-6.87,2.256,True
A10,16_octanaldehyde,octanaldehyde,Medium-chain,-7.05,1.351,True
A10,17_nonanal,nonanal,Medium-chain,-7.25,1.559,True
A10,18_decanal,decanal,Medium-chain,-7.48,1.787,True
A10,19_dodecanal,dodecanal,Medium-chain,-7.86,1.816,True
A10,20_Citral,Citral,"α,β-Unsaturated",-7.51,1.263,True
A10,21_cis-2-Octenal,cis-2-Octenal,"α,β-Unsaturated",-7.07,2.017,True
A10,22_trans-2-Octenal,trans-2-Octenal,"α,β-Unsaturated",-7.03,1.633,True
A10,23_4-Hydroxynonenal,4-HNE,"α,β-Unsaturated",-7.42,5.897,False
A10,24_Tetradecanal,Tetradecanal,Medium-chain,-8.16,1.39,True
A10,25_hexadecanal,hexadecanal,Medium-chain,-7.97,1.95,True
A10,26_trans-2-hexadecenal,t-2-hexadecenal,"α,β-Unsaturated",-8.06,1.38,True
A10,27_Benzaldehyde,benzald.,Aromatic,-6.95,1.7,True
A10,28_Phenylacetaldehyde,phenylacetald.,Aromatic,-6.98,15.207,False
A10,29_Salicylaldehyde,salicylald.,Aromatic,-6.95,1.738,True
A10,2_acetaldehyde,acetaldehyde,Short-chain,-5.72,1.861,True
A10,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal","3,4-(OH)₂-cinnamald.",Aromatic,-7.36,1.973,True
A10,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",β-carotene ald.,Retinoid,-9.16,1.978,True
A10,32_9-cis-Retinal,9-cis-retinal,Retinoid,-9.55,3.713,True
A10,34_4-hydroxy-2-nonenal,4-OH-2-nonenal,"α,β-Unsaturated",-7.38,3.489,True
A10,35_Cinnamaldehyde,cinnamald.,Aromatic,-6.72,47.32,False
A10,36_3-(4-Isopropylphenyl)-2-methylpropanal,iPr-Ph methylpropanal,Aromatic,-8.24,1.791,True
A10,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",DHF-OH-acetald.,Aromatic,-6.64,3.089,True
A10,39_4-nitrobenzaldehyde,4-NO₂-benzald.,Aromatic,-6.74,2.586,True
