protein,category,median_distance
A10,Aromatic,2.8375
A10,Medium-chain,1.816
A10,Other,5.275
A10,Retinoid,2.8455
A10,Semialdehyde,3.06
A10,Short-chain,2.0065
A10,"α,β-Unsaturated",2.0425
A11,Aromatic,2.2430000000000003
A11,Medium-chain,2.143
A11,Other,7.612
A11,Retinoid,2.6755
A11,Semialdehyde,3.276
A11,Short-chain,2.1605
A11,"α,β-Unsaturated",2.0715
A12,Aromatic,5.2010000000000005
A12,Medium-chain,5.564
A12,Other,6.383
A12,Retinoid,5.6635
A12,Semialdehyde,2.138
A12,Short-chain,5.1615
A12,"α,β-Unsaturated",5.531
A13,Aromatic,5.1915
A13,Medium-chain,6.945
A13,Other,5.5835
A13,Retinoid,5.8615
A13,Semialdehyde,3.118
A13,Short-chain,3.5374999999999996
A13,"α,β-Unsaturated",3.7045
A14,Aromatic,8.771
A14,Medium-chain,4.425
A14,Other,10.822
A14,Retinoid,7.2255
A14,Semialdehyde,4.247
A14,Short-chain,1.866
A14,"α,β-Unsaturated",3.089
A8,Aromatic,2.7425
A8,Medium-chain,2.096
A8,Other,5.989
A8,Retinoid,2.2415000000000003
A8,Semialdehyde,5.852
A8,Short-chain,2.335
A8,"α,β-Unsaturated",1.998
A9,Aromatic,2.223
A9,Medium-chain,2.197
A9,Other,6.261
A9,Retinoid,3.48
A9,Semialdehyde,4.303
A9,Short-chain,2.4785
A9,"α,β-Unsaturated",2.381
