protein,category,frac
A8,Short-chain,0.6666666666666666
A8,Medium-chain,1.0
A8,"α,β-Unsaturated",0.9
A8,Aromatic,1.0
A8,Retinoid,1.0
A8,Semialdehyde,0.8888888888888888
A9,Short-chain,0.3333333333333333
A9,Medium-chain,1.0
A9,"α,β-Unsaturated",0.8
A9,Aromatic,1.0
A9,Retinoid,1.0
A9,Semialdehyde,0.8888888888888888
A10,Short-chain,0.5
A10,Medium-chain,1.0
A10,"α,β-Unsaturated",0.8
A10,Aromatic,1.0
A10,Retinoid,1.0
A10,Semialdehyde,0.8888888888888888
A11,Short-chain,0.3333333333333333
A11,Medium-chain,1.0
A11,"α,β-Unsaturated",0.8
A11,Aromatic,1.0
A11,Retinoid,1.0
A11,Semialdehyde,0.8888888888888888
A12,Short-chain,0.3333333333333333
A12,Medium-chain,1.0
A12,"α,β-Unsaturated",0.8
A12,Aromatic,1.0
A12,Retinoid,1.0
A12,Semialdehyde,0.8888888888888888
A13,Short-chain,0.5
A13,Medium-chain,1.0
A13,"α,β-Unsaturated",0.8
A13,Aromatic,1.0
A13,Retinoid,1.0
A13,Semialdehyde,0.8888888888888888
A14,Short-chain,0.8333333333333334
A14,Medium-chain,1.0
A14,"α,β-Unsaturated",1.0
A14,Aromatic,0.9
A14,Retinoid,1.0
A14,Semialdehyde,1.0
