protein,ligand,catalytic_CYS_resseq,is_aldehyde,aldehyde_C_idx_in_sdf,CYS_SG_to_aldC_distance_A
A10,10_4-guanidinobutyraldehyde,207,True,7,2.512
A10,11_prop-2-enal,207,True,2,2.448
A10,12_prop-2-ynal,207,True,1,2.068
A10,13_(2E)-but-2-enal,207,True,4,1.927
A10,14_trans-2-Hexenal,207,True,6,2.231
A10,15_heptanal,207,True,7,2.256
A10,16_octanaldehyde,207,True,8,1.351
A10,17_nonanal,207,True,9,1.559
A10,18_decanal,207,True,10,1.787
A10,19_dodecanal,207,True,12,1.816
A10,1_formaldehyde,207,False,,
A10,20_Citral,207,True,10,1.263
A10,21_cis-2-Octenal,207,True,1,2.017
A10,22_trans-2-Octenal,207,True,8,1.633
A10,23_4-Hydroxynonenal,207,True,10,5.897
A10,24_Tetradecanal,207,True,14,1.39
A10,25_hexadecanal,207,True,16,1.95
A10,26_trans-2-hexadecenal,207,True,16,1.38
A10,27_Benzaldehyde,207,True,7,1.7
A10,28_Phenylacetaldehyde,207,True,8,15.207
A10,29_Salicylaldehyde,207,True,8,1.738
A10,2_acetaldehyde,207,True,2,1.861
A10,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",207,True,11,1.973
A10,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",207,True,20,1.978
A10,32_9-cis-Retinal,207,True,20,3.713
A10,33_11-cis-Retinol,207,False,,
A10,34_4-hydroxy-2-nonenal,207,True,10,3.489
A10,35_Cinnamaldehyde,207,True,9,47.32
A10,36_3-(4-Isopropylphenyl)-2-methylpropanal,207,True,13,1.791
A10,37_thiobenzaldehyde,207,False,,
A10,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",207,True,11,3.089
A10,39_4-nitrobenzaldehyde,207,True,10,2.586
A10,3_propylaldehyde,207,True,3,2.424
A10,40_Furan-2-carbaldehyde,207,True,16,11.451
A10,41_Indole-3-acetaldehyde,207,True,11,10.463
A10,42_Glutamate-5-semialdehyde,207,True,8,5.858
A10,43_Glutamate-1-semialdehyde,207,True,7,1.72
A10,44_glutarate semialdehyde,207,True,7,5.503
A10,45_adipate semialdehyde,207,True,8,3.06
A10,46_Succinic semialdehyde,207,True,6,4.616
A10,47_methylmalonate semialdehyde,207,True,6,2.481
A10,48_alpha-aminoadipate semialdehyde,207,True,9,2.954
A10,49_2-Aminomuconic semialdehyde,207,True,9,7.093
A10,4_malonaldehyde,207,True,3,2.064
A10,50_10-formyltetrahydrofolate,207,True,21,14.232
A10,51_6R-Tetrahydrofolic acid,207,False,,
A10,52_Triose phosphate,207,True,9,4.336
A10,53_Pyridoxal phosphate,207,True,15,15.479
A10,55_Ethanol,207,False,,
A10,56_S-hydroxy-methylglutathione,207,False,,
A10,57_S-3-oxopropylglutathione,207,True,23,5.404
A10,58_S-(4-oxobutan-2-yl)glutathione,207,True,23,2.767
A10,59_4-Hydroxynonenal_glutathione,207,False,,
A10,5_butyraldehyde,207,True,4,1.949
A10,60_S-Formylglutathione,207,True,21,5.146
A10,6_amylaldehyde,207,True,5,2.105
A10,7_glutaraldehyde,207,True,5,5.556
A10,8_hexanal,207,True,6,2.264
A10,9_2-hydroxypropionaldehyde,207,True,4,1.64
A11,10_4-guanidinobutyraldehyde,163,True,7,1.814
A11,11_prop-2-enal,163,True,2,1.806
A11,12_prop-2-ynal,163,True,1,2.21
A11,13_(2E)-but-2-enal,163,True,4,2.094
A11,14_trans-2-Hexenal,163,True,6,2.049
A11,15_heptanal,163,True,7,2.062
A11,16_octanaldehyde,163,True,8,2.169
A11,17_nonanal,163,True,9,2.178
A11,18_decanal,163,True,10,1.678
A11,19_dodecanal,163,True,12,2.239
A11,1_formaldehyde,163,False,,
A11,20_Citral,163,True,10,1.886
A11,21_cis-2-Octenal,163,True,1,1.463
A11,22_trans-2-Octenal,163,True,8,2.219
A11,23_4-Hydroxynonenal,163,True,10,2.8
A11,24_Tetradecanal,163,True,14,2.228
A11,25_hexadecanal,163,True,16,1.816
A11,26_trans-2-hexadecenal,163,True,16,1.929
A11,27_Benzaldehyde,163,True,7,1.871
A11,28_Phenylacetaldehyde,163,True,8,2.266
A11,29_Salicylaldehyde,163,True,8,2.207
A11,2_acetaldehyde,163,True,2,2.21
A11,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",163,True,11,8.187
A11,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",163,True,20,3.488
A11,32_9-cis-Retinal,163,True,20,1.863
A11,33_11-cis-Retinol,163,False,,
A11,34_4-hydroxy-2-nonenal,163,True,10,2.77
A11,35_Cinnamaldehyde,163,True,9,2.57
A11,36_3-(4-Isopropylphenyl)-2-methylpropanal,163,True,13,1.591
A11,37_thiobenzaldehyde,163,False,,
A11,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",163,True,11,3.602
A11,39_4-nitrobenzaldehyde,163,True,10,2.212
A11,3_propylaldehyde,163,True,3,2.102
A11,40_Furan-2-carbaldehyde,163,True,16,11.223
A11,41_Indole-3-acetaldehyde,163,True,11,2.22
A11,42_Glutamate-5-semialdehyde,163,True,8,6.251
A11,43_Glutamate-1-semialdehyde,163,True,7,1.815
A11,44_glutarate semialdehyde,163,True,7,3.256
A11,45_adipate semialdehyde,163,True,8,3.276
A11,46_Succinic semialdehyde,163,True,6,3.365
A11,47_methylmalonate semialdehyde,163,True,6,2.592
A11,48_alpha-aminoadipate semialdehyde,163,True,9,7.442
A11,49_2-Aminomuconic semialdehyde,163,True,9,6.893
A11,4_malonaldehyde,163,True,3,2.931
A11,50_10-formyltetrahydrofolate,163,True,21,14.839
A11,51_6R-Tetrahydrofolic acid,163,False,,
A11,52_Triose phosphate,163,True,9,4.606
A11,53_Pyridoxal phosphate,163,True,15,12.414
A11,55_Ethanol,163,False,,
A11,56_S-hydroxy-methylglutathione,163,False,,
A11,57_S-3-oxopropylglutathione,163,True,23,9.74
A11,58_S-(4-oxobutan-2-yl)glutathione,163,True,23,5.484
A11,59_4-Hydroxynonenal_glutathione,163,False,,
A11,5_butyraldehyde,163,True,4,2.284
A11,60_S-Formylglutathione,163,True,21,4.758
A11,6_amylaldehyde,163,True,5,2.111
A11,7_glutaraldehyde,163,True,5,2.143
A11,8_hexanal,163,True,6,1.987
A11,9_2-hydroxypropionaldehyde,163,True,4,1.635
A12,10_4-guanidinobutyraldehyde,348,True,7,5.565
A12,11_prop-2-enal,348,True,2,5.168
A12,12_prop-2-ynal,348,True,1,5.534
A12,13_(2E)-but-2-enal,348,True,4,5.528
A12,14_trans-2-Hexenal,348,True,6,5.344
A12,15_heptanal,348,True,7,5.407
A12,16_octanaldehyde,348,True,8,5.564
A12,17_nonanal,348,True,9,5.572
A12,18_decanal,348,True,10,5.686
A12,19_dodecanal,348,True,12,5.389
A12,1_formaldehyde,348,False,,
A12,20_Citral,348,True,10,5.838
A12,21_cis-2-Octenal,348,True,1,5.613
A12,22_trans-2-Octenal,348,True,8,5.444
A12,23_4-Hydroxynonenal,348,True,10,5.506
A12,24_Tetradecanal,348,True,14,5.57
A12,25_hexadecanal,348,True,16,5.502
A12,26_trans-2-hexadecenal,348,True,16,5.742
A12,27_Benzaldehyde,348,True,7,5.01
A12,28_Phenylacetaldehyde,348,True,8,4.951
A12,29_Salicylaldehyde,348,True,8,4.824
A12,2_acetaldehyde,348,True,2,5.165
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",348,True,11,5.817
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",348,True,20,5.763
A12,32_9-cis-Retinal,348,True,20,5.564
A12,33_11-cis-Retinol,348,False,,
A12,34_4-hydroxy-2-nonenal,348,True,10,6.785
A12,35_Cinnamaldehyde,348,True,9,5.472
A12,36_3-(4-Isopropylphenyl)-2-methylpropanal,348,True,13,5.098
A12,37_thiobenzaldehyde,348,False,,
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",348,True,11,5.455
A12,39_4-nitrobenzaldehyde,348,True,10,5.767
A12,3_propylaldehyde,348,True,3,5.145
A12,40_Furan-2-carbaldehyde,348,True,16,5.11
A12,41_Indole-3-acetaldehyde,348,True,11,5.292
A12,42_Glutamate-5-semialdehyde,348,True,8,1.536
A12,43_Glutamate-1-semialdehyde,348,True,7,5.41
A12,44_glutarate semialdehyde,348,True,7,1.645
A12,45_adipate semialdehyde,348,True,8,1.862
A12,46_Succinic semialdehyde,348,True,6,2.357
A12,47_methylmalonate semialdehyde,348,True,6,3.169
A12,48_alpha-aminoadipate semialdehyde,348,True,9,2.138
A12,49_2-Aminomuconic semialdehyde,348,True,9,1.965
A12,4_malonaldehyde,348,True,3,3.096
A12,50_10-formyltetrahydrofolate,348,True,21,14.408
A12,51_6R-Tetrahydrofolic acid,348,False,,
A12,52_Triose phosphate,348,True,9,2.02
A12,53_Pyridoxal phosphate,348,True,15,3.85
A12,55_Ethanol,348,False,,
A12,56_S-hydroxy-methylglutathione,348,False,,
A12,57_S-3-oxopropylglutathione,348,True,23,6.977
A12,58_S-(4-oxobutan-2-yl)glutathione,348,True,23,6.553
A12,59_4-Hydroxynonenal_glutathione,348,False,,
A12,5_butyraldehyde,348,True,4,5.222
A12,60_S-Formylglutathione,348,True,21,6.213
A12,6_amylaldehyde,348,True,5,5.572
A12,7_glutaraldehyde,348,True,5,1.605
A12,8_hexanal,348,True,6,5.566
A12,9_2-hydroxypropionaldehyde,348,True,4,5.158
A13,10_4-guanidinobutyraldehyde,340,True,7,8.034
A13,11_prop-2-enal,340,True,2,4.42
A13,12_prop-2-ynal,340,True,1,3.631
A13,13_(2E)-but-2-enal,340,True,4,3.778
A13,14_trans-2-Hexenal,340,True,6,3.023
A13,15_heptanal,340,True,7,7.961
A13,16_octanaldehyde,340,True,8,1.92
A13,17_nonanal,340,True,9,7.132
A13,18_decanal,340,True,10,1.302
A13,19_dodecanal,340,True,12,6.945
A13,1_formaldehyde,340,False,,
A13,20_Citral,340,True,10,3.119
A13,21_cis-2-Octenal,340,True,1,3.253
A13,22_trans-2-Octenal,340,True,8,1.382
A13,23_4-Hydroxynonenal,340,True,10,11.468
A13,24_Tetradecanal,340,True,14,7.434
A13,25_hexadecanal,340,True,16,2.092
A13,26_trans-2-hexadecenal,340,True,16,5.451
A13,27_Benzaldehyde,340,True,7,4.134
A13,28_Phenylacetaldehyde,340,True,8,2.953
A13,29_Salicylaldehyde,340,True,8,6.249
A13,2_acetaldehyde,340,True,2,3.418
A13,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",340,True,11,8.782
A13,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",340,True,20,8.769
A13,32_9-cis-Retinal,340,True,20,2.954
A13,33_11-cis-Retinol,340,False,,
A13,34_4-hydroxy-2-nonenal,340,True,10,6.727
A13,35_Cinnamaldehyde,340,True,9,8.499
A13,36_3-(4-Isopropylphenyl)-2-methylpropanal,340,True,13,14.103
A13,37_thiobenzaldehyde,340,False,,
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",340,True,11,3.078
A13,39_4-nitrobenzaldehyde,340,True,10,3.057
A13,3_propylaldehyde,340,True,3,4.039
A13,40_Furan-2-carbaldehyde,340,True,16,13.516
A13,41_Indole-3-acetaldehyde,340,True,11,3.56
