protein,ligand,category,DG_prediction_kcalmol,CYS_SG_to_aldC_distance_A,LE,N_total,N_CC,N_CA,N_CP,N_PA
A10,10_4-guanidinobutyraldehyde,Semialdehyde,-5.81,2.512,0.6455555555555555,28.678856431661952,1.1843411744395334,1.7765117616592998,10.28720139822525,15.430802097337871
A10,11_prop-2-enal,"α,β-Unsat",-5.99,2.448,1.4975,32.0219762618179,2.531123743654959,3.7966856154824384,10.2776667610722,15.4165001416083
A10,12_prop-2-ynal,"α,β-Unsat",-5.92,2.068,1.48,31.06884247624078,1.8832896681014617,2.8249345021521926,10.54424732239485,15.816370983592273
A10,13_(2E)-but-2-enal,"α,β-Unsat",-6.21,1.927,1.242,38.006208141344395,3.4983447720502805,5.2475171580754205,11.70413848448748,17.556207726731216
A10,14_trans-2-Hexenal,"α,β-Unsat",-6.64,2.231,0.9485714285714285,48.69622392851678,5.748751555507834,8.62312733326175,13.729738015898882,20.59460702384832
A10,15_heptanal,Medium-chain,-6.87,2.256,0.85875,53.23471796360294,7.37425058137816,11.061375872067238,13.919636604063015,20.879454906094523
A10,16_octanaldehyde,Medium-chain,-7.05,1.351,0.7833333333333333,56.8684807915471,8.617091332740495,12.925636999110742,14.130300983878342,21.195451475817514
A10,17_nonanal,Medium-chain,-7.25,1.559,0.725,60.86225751259361,10.013667228547028,15.020500842820542,14.331235776490415,21.49685366473562
A10,18_decanal,Medium-chain,-7.48,1.787,0.68,65.45373160169504,11.620219150354266,17.430328725531396,14.561273490323751,21.841910235485624
A10,19_dodecanal,Medium-chain,-7.86,1.816,0.6046153846153847,71.984759769238,14.65177800343071,21.977667005146063,14.14212590426449,21.213188856396734
A10,20_Citral,"α,β-Unsat",-7.51,1.263,0.6827272727272727,68.14711523215631,11.08072093674862,16.621081405122926,16.178125156113904,24.267187734170857
A10,21_cis-2-Octenal,"α,β-Unsat",-7.07,2.017,0.7855555555555556,58.27793269760273,8.39551898441665,12.593278476624974,14.915654094624443,22.373481141936665
A10,22_trans-2-Octenal,"α,β-Unsat",-7.03,1.633,0.7811111111111111,57.15178907059591,8.233286733510047,12.349930100265071,14.627428894728318,21.941143342092474
A10,23_4-Hydroxynonenal,"α,β-Unsat",-7.42,5.897,0.6745454545454546,71.15309051978566,8.734516215240488,13.101774322860729,19.72671999267378,29.59007998901067
A10,24_Tetradecanal,Medium-chain,-8.16,1.39,0.544,76.01287638882258,17.448502398799604,26.172753598199407,12.956648156729427,19.43497223509414
